2011.10.24,00:00,1.00680,1.00980,1.00210,1.00330,74378
2011.10.25,00:00,1.00340,1.02110,0.99900,1.01660,79804
2011.10.26,00:00,1.01660,1.01760,1.00360,1.00410,83277
2011.10.27,00:00,1.00410,1.00500,0.98910,0.99080,89436
2011.10.28,00:00,0.99080,0.99700,0.98940,0.99140,75203
2011.10.31,00:00,0.99200,1.00260,0.99120,0.99960,77471
2011.11.01,00:00,0.99960,1.02070,0.99740,1.01890,88318
2011.11.02,00:00,1.01890,1.02220,1.01060,1.01400,81284
2011.11.03,00:00,1.01370,1.02150,1.00550,1.00760,82409
2011.11.04,00:00,1.00760,1.02270,1.00690,1.01860,69668
2011.11.07,00:00,1.01640,1.02030,1.01230,1.01250,68189
2011.11.08,00:00,1.01250,1.01810,1.00770,1.00870,65033
2011.11.09,00:00,1.00870,1.02440,1.00780,1.02440,76203
2011.11.10,00:00,1.02440,1.02660,1.01640,1.01690,75510
2011.11.11,00:00,1.01680,1.02310,1.00950,1.00990,65791
2011.11.14,00:00,1.00790,1.01940,1.00790,1.01670,67540
2011.11.15,00:00,1.01660,1.02620,1.01580,1.02090,69728
2011.11.16,00:00,1.02080,1.02870,1.01700,1.02430,76594
2011.11.17,00:00,1.02430,1.02940,1.02080,1.02890,86508
2011.11.18,00:00,1.02890,1.03000,1.01980,1.02720,76902
2011.11.21,00:00,1.02650,1.04170,1.02640,1.03970,77492
2011.11.22,00:00,1.03980,1.04110,1.03460,1.03810,76763
2011.11.23,00:00,1.03800,1.04960,1.03710,1.04850,77251
2011.11.24,00:00,1.04840,1.04890,1.04380,1.04670,54101
2011.11.25,00:00,1.04670,1.05230,1.04380,1.04650,64230
2011.11.28,00:00,1.04280,1.04460,1.03040,1.03400,74359
2011.11.29,00:00,1.03400,1.03630,1.02580,1.03180,71719
2011.11.30,00:00,1.03180,1.03620,1.01230,1.01750,79208
2011.12.01,00:00,1.01750,1.02230,1.01350,1.01370,69078
2011.12.02,00:00,1.01370,1.01960,1.00790,1.01880,60729
2011.12.05,00:00,1.01650,1.01920,1.01190,1.01630,65333
2011.12.06,00:00,1.01630,1.02060,1.00840,1.00990,66115
2011.12.07,00:00,1.00980,1.01320,1.00650,1.00960,64350
2011.12.08,00:00,1.00960,1.02320,1.00510,1.02280,70560
2011.12.09,00:00,1.02280,1.02610,1.01650,1.01660,70005
2011.12.12,00:00,1.01890,1.02840,1.01830,1.02690,66274
2011.12.13,00:00,1.02700,1.03480,1.02310,1.03400,66131
2011.12.14,00:00,1.03400,1.04220,1.03260,1.03940,70805
2011.12.15,00:00,1.03940,1.04050,1.03190,1.03470,72971
2011.12.16,00:00,1.03470,1.04050,1.02960,1.03820,62666
2011.12.19,00:00,1.03640,1.04140,1.03340,1.03860,71075
2011.12.20,00:00,1.03860,1.03870,1.02620,1.02960,65770
2011.12.21,00:00,1.02960,1.03070,1.02080,1.02640,70838
2011.12.22,00:00,1.02630,1.02800,1.02000,1.02020,61712
2011.12.23,00:00,1.02020,1.02130,1.01800,1.01980,41257
2011.12.26,00:00,1.02230,1.02320,1.01760,1.01940,11538
2011.12.27,00:00,1.01940,1.02150,1.01760,1.01840,37670
2011.12.28,00:00,1.01840,1.02500,1.01250,1.02420,51211
2011.12.29,00:00,1.02420,1.02670,1.01970,1.01970,54369
2011.12.30,00:00,1.01980,1.02200,1.01560,1.02080,50613
2012.01.02,00:00,1.02000,1.02110,1.01730,1.01860,25142
2012.01.03,00:00,1.01860,1.01970,1.00760,1.01040,54263
2012.01.04,00:00,1.01030,1.01610,1.01020,1.01260,63503
2012.01.05,00:00,1.01260,1.02240,1.01200,1.01960,68215
2012.01.06,00:00,1.01960,1.02850,1.01690,1.02830,62454
2012.01.09,00:00,1.02730,1.03170,1.02240,1.02330,67455
2012.01.10,00:00,1.02330,1.02390,1.01530,1.01540,59528
2012.01.11,00:00,1.01530,1.02090,1.01380,1.01930,58041
2012.01.12,00:00,1.01940,1.02100,1.01390,1.01900,59300
2012.01.13,00:00,1.01900,1.02830,1.01630,1.02300,65488
2012.01.16,00:00,1.02450,1.02530,1.01650,1.01780,45746
2012.01.17,00:00,1.01770,1.01870,1.01120,1.01490,60498
2012.01.18,00:00,1.01500,1.01760,1.01100,1.01100,65359
2012.01.19,00:00,1.01100,1.01270,1.00700,1.01070,61775
2012.01.20,00:00,1.01060,1.01590,1.01060,1.01300,54259
2012.01.23,00:00,1.01430,1.01600,1.00520,1.00820,57348
2012.01.24,00:00,1.00830,1.01410,1.00710,1.00880,50352
2012.01.25,00:00,1.00880,1.01460,1.00270,1.00410,56826
2012.01.26,00:00,1.00420,1.00480,0.99810,1.00160,54760
2012.01.27,00:00,1.00160,1.00400,0.99860,1.00160,62592
2012.01.30,00:00,1.00090,1.00690,1.00090,1.00130,58630
2012.01.31,00:00,1.00140,1.00530,0.99650,1.00240,62370
2012.02.01,00:00,1.00240,1.00470,0.99630,0.99840,63756
2012.02.02,00:00,0.99840,1.00080,0.99670,0.99900,62235
2012.02.03,00:00,0.99910,1.00320,0.99260,0.99330,61864
2012.02.06,00:00,0.99420,0.99930,0.99280,0.99580,61734
2012.02.07,00:00,0.99580,0.99940,0.99400,0.99440,67243
2012.02.08,00:00,0.99440,0.99890,0.99340,0.99590,56191
2012.02.09,00:00,0.99580,0.99790,0.99250,0.99460,61475
2012.02.10,00:00,0.99450,1.00380,0.99420,1.00110,57801
2012.02.13,00:00,1.00060,1.00150,0.99710,0.99950,57698
