0.9693,0.9701,0.9624,0.9632
0.9632,0.965,0.9579,0.9583
0.9592,0.9617,0.9579,0.9609
0.9609,0.9641,0.9592,0.9631
0.9632,0.9694,0.9613,0.9652
0.9651,0.9666,0.9568,0.9586
0.9585,0.9664,0.9567,0.9617
0.9613,0.9695,0.9605,0.9686
0.9687,0.9778,0.9625,0.9664
0.9665,0.9667,0.9578,0.958
0.9581,0.9616,0.9549,0.9604
0.9604,0.9624,0.952,0.9533
0.9543,0.9635,0.953,0.9595
0.9595,0.9601,0.9482,0.9498
0.9498,0.9513,0.9456,0.9473
0.9473,0.9493,0.9423,0.9431
0.9432,0.9528,0.9427,0.9478
0.9482,0.9524,0.9433,0.9469
0.947,0.9474,0.9406,0.9441
0.9442,0.9505,0.9409,0.9496
0.9496,0.9521,0.9457,0.9491
0.9491,0.959,0.9484,0.9552
0.9559,0.9604,0.949,0.957
0.9569,0.9617,0.9546,0.9611
0.9611,0.9646,0.9568,0.9619
0.9619,0.9814,0.9601,0.9813
0.9814,0.9853,0.9742,0.9819
0.9815,0.9944,0.9782,0.9944
0.9943,1.0009,0.9768,0.9771
0.9771,0.9952,0.9765,0.9948
0.9947,0.9966,0.984,0.984
0.984,0.9917,0.9833,0.9871
0.987,0.9905,0.9791,0.9791
0.9791,0.9872,0.9788,0.9824
0.9823,0.9845,0.9774,0.9806
0.9806,0.9938,0.9798,0.9904
0.9903,0.9925,0.9825,0.9899
0.9897,0.9918,0.9829,0.9904
0.9903,0.9907,0.9848,0.9872
0.9873,0.9904,0.9839,0.9871
0.987,0.9887,0.9791,0.9881
0.9881,0.9923,0.9808,0.9811
0.9797,0.9833,0.9739,0.9768
0.9767,0.9815,0.9756,0.9778
0.9778,0.98,0.9725,0.9776
0.9776,0.9795,0.9735,0.9767
0.9767,0.9857,0.9753,0.9851
0.9862,0.9933,0.9853,0.99
0.99,0.9962,0.9864,0.9904
0.9903,0.9907,0.983,0.9831
0.9831,0.9895,0.9828,0.9893
0.9893,0.9979,0.9868,0.9966
0.9972,1.0025,0.9915,0.9926
0.9926,0.9977,0.985,0.9856
0.9856,0.9938,0.9845,0.9891
0.9891,0.9949,0.9829,0.9835
0.9834,0.986,0.9779,0.9779
0.9813,0.9922,0.9801,0.9904
0.9906,0.9948,0.9882,0.9925
0.9925,1.0088,0.9909,1.008
1.008,1.036,1.0052,1.0284
1.0283,1.0347,1.0224,1.0276
1.0276,1.0385,1.025,1.025
1.025,1.0281,1.0143,1.0192
1.0192,1.0337,1.017,1.0334
1.0334,1.0401,1.0256,1.036
1.0359,1.0502,1.035,1.0502
1.0488,1.0547,1.0432,1.0544
1.0544,1.0656,1.0511,1.0512
1.0512,1.0571,1.0396,1.0401
1.0401,1.0481,1.037,1.037
1.037,1.0417,1.0235,1.0391
1.039,1.039,1.025,1.0259
1.0259,1.0339,1.0255,1.0297
1.0297,1.0328,1.0134,1.0171
1.0171,1.0272,1.0163,1.0207
