Year,Month,Day,Open,High,Low,Close,Volumn,Return,QPL1,QPL2,QPL3,QPL4,QPL-1,QPL-2,QPL-3,QPL-4
2019,5,7,1.34401000,1.34883000,1.34089000,1.34721000,54097,0.99997031,1.34856331,1.35177460,1.35579617,1.36032290,1.33422351,1.33867820,1.34266081,1.34585805
2019,5,6,1.34590000,1.34933000,1.34319000,1.34460000,45122,0.99806266,1.34595069,1.34915576,1.35316954,1.35768749,1.33163867,1.33608473,1.34005963,1.34325067
2019,5,3,1.34741000,1.34891000,1.34058000,1.34237000,49063,0.99834151,1.34371845,1.34691820,1.35092533,1.35543579,1.32943016,1.33386886,1.33783716,1.34102291
2019,5,2,1.34440000,1.34761000,1.34295000,1.34740000,44203,1.00374710,1.34875350,1.35196524,1.35598738,1.36051475,1.33441167,1.33886700,1.34285017,1.34604786
2019,5,1,1.33873000,1.34608000,1.33764000,1.34440000,47681,0.99777349,1.34575049,1.34895508,1.35296826,1.35748555,1.33144059,1.33588600,1.33986030,1.34305087
2019,4,30,1.34555000,1.34799000,1.33806000,1.33873000,34738,0.99578251,1.34007479,1.34326587,1.34726213,1.35176036,1.32582525,1.33025191,1.33420945,1.33738656
2019,4,29,1.34581000,1.34791000,1.34392000,1.34565000,50840,1.00516908,1.34700174,1.35020932,1.35422623,1.35874771,1.33267854,1.33712808,1.34110608,1.34429962
2019,4,26,1.34843000,1.34973000,1.34512000,1.34590000,44819,1.00018578,1.34725199,1.35046016,1.35447782,1.35900015,1.33292613,1.33737650,1.34135524,1.34454936
2019,4,25,1.34844000,1.35162000,1.34819000,1.34843000,54402,1.00187978,1.34978453,1.35299873,1.35702395,1.36155477,1.33543175,1.33989048,1.34387669,1.34707683
2019,4,24,1.34221000,1.35206000,1.34206000,1.34886000,40144,1.00031889,1.35021497,1.35343019,1.35745669,1.36198896,1.33585760,1.34031775,1.34430524,1.34750639
2019,4,23,1.33460000,1.34424000,1.33427000,1.34219000,30300,0.99505508,1.34353827,1.34673759,1.35074418,1.35525403,1.32925190,1.33369000,1.33765776,1.34084309
2019,4,22,1.33841000,1.33903000,1.33346000,1.33435000,31149,0.99415880,1.33569039,1.33887103,1.34285421,1.34733773,1.32148747,1.32589965,1.32984424,1.33301096
2019,4,19,1.33807000,1.33929000,1.33649000,1.33847000,48536,1.00308765,1.33981453,1.34300499,1.34700047,1.35149783,1.32556776,1.32999355,1.33395033,1.33712682
2019,4,18,1.33395000,1.33991000,1.33341000,1.33713000,50062,0.99899886,1.33847318,1.34166045,1.34565193,1.35014478,1.32424067,1.32866204,1.33261485,1.33578817
2019,4,17,1.33489000,1.33721000,1.32741000,1.33405000,47059,0.99769656,1.33539009,1.33857001,1.34255230,1.34703481,1.32119036,1.32560155,1.32954525,1.33271126
2019,4,16,1.33698000,1.34024000,1.33458000,1.33491000,43818,1.00064465,1.33625095,1.33943293,1.34341778,1.34790318,1.32204207,1.32645610,1.33040235,1.33357039
2019,4,15,1.33339000,1.33899000,1.32967000,1.33662000,49588,1.00128099,1.33796267,1.34114872,1.34513868,1.34962982,1.32373559,1.32815527,1.33210657,1.33527868
